date,Open,low,high,Close,hr hilo,time
2019:06:11-08:00:00,5385.6,5380.6,5404.5,5385.5,0.31%,10
2019:06:11-09:00:00,5385.8,5366.8,5399,5378,0.16%,11
2019:06:11-10:00:00,5378.4,5360.1,5385.1,5382.5,0.35%,12
2019:06:11-11:00:00,5383.1,5380.1,5402.8,5382.5,0.27%,13
2019:06:11-12:00:00,5382.4,5374.5,5397.1,5386.9,0.57%,14
2019:06:11-13:00:00,5387.3,5386.9,5418.7,5403.9,0.84%,15
2019:06:11-14:00:00,5402.9,5366.8,5413.9,5372.8,0.40%,16
2019:06:11-15:00:00,5372.5,5338.2,5390.2,5361.2,0.28%,17
2019:06:11-16:00:00,5361,5340.6,5384.3,5353.3,0.24%,18
2019:06:11-17:00:00,5353.5,5333,5359.5,5340.9,0.23%,19
2019:06:11-18:00:00,5341.3,5338.4,5378.6,5372,0.61%,20
2019:06:11-19:00:00,5372.3,5316.1,5375.6,5333,0.16%,21
2019:06:11-20:00:00,5333.1,5332.5,5353.2,5348.2,0.15%,23
2019:06:11-21:00:00,5347.8,5310,5358.9,5322.6,0.31%,0
2019:06:12-01:00:00,5299.9,5266.7,5301.3,5276.1,0.22%,1
2019:06:12-02:00:00,5276.2,5262.1,5279.1,5264.4,0.20%,2
2019:06:12-03:00:00,5264.1,5251.4,5265.8,5254.4,0.26%,3
2019:06:12-04:00:00,5253.8,5252.4,5265.8,5264.4,0.10%,4
2019:06:12-05:00:00,5264.8,5254.9,5266.8,5257.9,0.13%,5
2019:06:12-06:00:00,5257.3,5240.5,5257.3,5248.3,0.15%,6
2019:06:12-07:00:00,5248.4,5236.7,5250.5,5246.3,0.16%,7
2019:06:12-08:00:00,5246.9,5239.3,5257.3,5247.4,0.12%,8
2019:06:12-09:00:00,5247.8,5188.8,5259.1,5190.6,0.54%,9
2019:06:12-10:00:00,5191.2,5167.2,5203,5201,0.24%,10
2019:06:12-11:00:00,5200.8,5193,5216,5215.6,0.55%,11
2019:06:12-12:00:00,5216,5194.1,5222,5199.7,0.20%,12
2019:06:12-13:00:00,5200.1,5193.2,5208.5,5200.5,0.29%,13
2019:06:12-14:00:00,5200.9,5200.5,5249.2,5235.8,0.56%,14
2019:06:12-15:00:00,5236.6,5178.8,5252.6,5203.2,0.40%,15
2019:06:12-16:00:00,5202.5,5177,5226,5187.5,0.34%,16
2019:06:12-17:00:00,5187.1,5187.1,5216.3,5207.5,0.28%,17
2019:06:12-18:00:00,5208.5,5180.7,5213.5,5187.2,0.23%,18
2019:06:12-19:00:00,5187.3,5091,5190.1,5121,0.32%,19
2019:06:12-20:00:00,5122,5114,5134.2,5123,0.40%,20
2019:06:12-21:00:00,5122.8,5116.4,5132.6,5126.2,0.23%,21
2019:06:12-23:00:00,5123.9,5121.9,5134.9,5131.9,0.06%,22
2019:06:13-01:00:00,5139.4,5134.4,5149.5,5141,0.07%,23
2019:06:13-02:00:00,5141.4,5133.2,5154.4,5134.4,0.19%,0
2019:06:13-03:00:00,5134.2,5112,5136.6,5123.2,0.16%,1
